Gene,ENSEMBL,Gene Synonyms,Subprocess,Class,Group,Hallmark
MRPS27,ENSG00000113048,"KIAA0264, MRP-S27, S27mt",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS28,ENSG00000147586,"COXPD47, HSPC007, MRP-S28, MRP-S35, MRPS35",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS30,ENSG00000112996,"MRP-S30, PAP, PDCD9, S30mt",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS31,ENSG00000102738,"IMOGN38, MRP-S31, S31mt",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS33,ENSG00000090263,"CGI-139, MRP-S33, PTD003, S33mt",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS34,ENSG00000074071,"COXPD32, MRP-S12, MRPS12, MRP-S34",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS35,ENSG00000061794,"HDCMD11P, MDS023, MRP-S28, MRPS28",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS36,ENSG00000134056,"DC47, KGD4, MRP-S36",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL1,ENSG00000169288,"BM022, L1MT, MRP-L1",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL2,ENSG00000112651,"CGI-22, MRP-L14, RPML14",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL3,ENSG00000114686,"COXPD9, MRL3, RPML3",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL4,ENSG00000105364,"CGI-28, L4mt",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL9,ENSG00000143436,L9mt,Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL10,ENSG00000159111,"L10MT, MRP-L10, MRP-L8, MRPL8, RPML8",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL11,ENSG00000174547,"CGI-113, L11MT, MRP-L11",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL12,ENSG00000262814,"5c5-2, L12mt, MRP-L31/34, MRPL7, MRPL7/L12, RPML12",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL13,ENSG00000172172,"L13, L13A, L13mt, RPL13, RPML13",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL14,ENSG00000180992,"L14mt, L32mt, MRP-L14, MRP-L32, MRPL32, RMPL32, RPML32",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL15,ENSG00000137547,"HSPC145, L15mt, MRP-L15, MRP-L7, RPML7",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL16,ENSG00000166902,"L16mt, MRP-L16, PNAS-111",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL17,ENSG00000158042,"L17mt, LIP2, MRP-L17, MRP-L26, RPL17L, RPML26",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL18,ENSG00000112110,"HSPC071, L18mt, MRP-L18",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL19,ENSG00000115364,"KIAA0104, L19mt, MRP-L15, MRPL15, MRP-L19, RLX1, RPML15",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL20,ENSG00000242485,"L20mt, MRP-L20",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL21,ENSG00000197345,"L21mt, MRP-L21",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL22,ENSG00000082515,"HSPC158, L22mt, MRP-L22, MRP-L25, MRPL25, RPML25",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL23,ENSG00000214026,"L23MRP, RPL23, RPL23L",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL24,ENSG00000143314,"L24mt, MRP-L18, MRP-L24",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL27,ENSG00000108826,L27mt,Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL28,ENSG00000086504,"MAAT1, p15",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL30,ENSG00000185414,"L28MT, L30MT, MRP-L28, MRPL28, MRPL28M, MRP-L30, RPML28",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL32,ENSG00000106591,"bMRP-59b, HSPC283, L32mt, MRP-L32",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL33,ENSG00000243147,"C2orf1, L33mt, MRP-L33, RPL33L",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL34,ENSG00000130312,L34mt,Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL35,ENSG00000132313,"L35mt, MRP-L35",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL36,ENSG00000171421,"BRIP1, L36mt, MRP-L36, PRPL36, RPMJ",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL37,ENSG00000116221,"L2mt, L37mt, MRP-L2, MRPL2, MRP-L37, RPML2",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL38,ENSG00000204316,"HSPC262, L38MT, MRP-L3, MRP-L38, RPML3",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL39,ENSG00000154719,"C21orf92, L39mt, L5mt, MRP-L5, MRPL5, MSTP003, PRED22, PRED66, RPML5",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL40,ENSG00000185608,"L40mt, MRP-L22, MRPL22, MRP-L40, NLVCF, URIM",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL41,ENSG00000182154,"BMRP, MRP-L27, MRPL27, PIG3, RPML27",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL42,ENSG00000198015,"HSPC204, L31MT, L42MT, MRP-L31, MRPL31, MRP-L42, MRP-S32, MRPS32, PTD007, RPML31, S32MT",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL43,ENSG00000055950,"bMRP36a, L43mt, MRP-L43",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL44,ENSG00000135900,"COXPD16, L44MT, MRP-L44",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL45,ENSG00000278845,"L45mt, MRP-L45",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL46,ENSG00000259494,"C15orf4, LIECG2, P2ECSL",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL47,ENSG00000136522,"CGI-204, L47mt, MRP-L47, NCM1",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL48,ENSG00000175581,"CGI-118, HSPC290, L48MT, MRP-L48",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL49,ENSG00000149792,"C11orf4, L49mt, MRP-L49, NOF, NOF1",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL50,ENSG00000136897,MRP-L50,Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL51,ENSG00000111639,"bMRP64, CDA09, HSPC241, MRP64",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL52,ENSG00000172590,(none known),Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL53,ENSG00000204822,L53MT,Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL54,ENSG00000183617,"L54mt, MRP-L54",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL55,ENSG00000162910,"AAVG5835, L55nt, MRP-L55, PRO19675",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL57,ENSG00000173141,"bMRP63, MRP63",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPL58,ENSG00000167862,"DS-1, DS1, ICT1, MRP-L58",Translation,Mitochondrial translation,Ribosome,Proteostasis
GADD45GIP1,ENSG00000179271,"CKBBP2, CKbetaBP2, CRIF1, MRP-L59, MRPL59, PLINP, PLINP-1, Plinp1, PLINP1, PRG6",Translation,Mitochondrial translation,Ribosome,Proteostasis
MRPS18A,ENSG00000096080,"HumanS18b, MRP-S18-3, MRPS18-3, MRP-S18-a, S18bmt, S18mt-a",Translation,Mitochondrial translation,Ribosome,Proteostasis
METTL15,ENSG00000169519,METT5D1,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
NSUN4,ENSG00000117481,SHTAP,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTERF4,ENSG00000122085,MTERFD2,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
TFB1M,ENSG00000029639,"CGI-75, CGI75, mtTFB, mtTFB1",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
TRMT2B,ENSG00000188917,"CXorf34, dJ341D10.3",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MRM1,ENSG00000278619,(none known),Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MRM2,ENSG00000122687,"FJH1, FTSJ2, HEL97, MTDPS17, RRMJ2",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MRM3,ENSG00000171861,"RMTL1, RNMTL1",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
TRMT61B,ENSG00000171103,(none known),Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
RPUSD4,ENSG00000165526,(none known),Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
ERAL1,ENSG00000132591,"CEGA, ERA, ERAL1A, ERAL1B, ERA-W, H-ERA, HERA, HERA-A, HERA-B, PRLTS6",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
RBFA,ENSG00000101546,"C18orf22, HsT169",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
RCC1L,ENSG00000274523,WBSCR16,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
YBEY,ENSG00000182362,C21orf57,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTERF4,ENSG00000122085,MTERFD2,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
PTCD1,ENSG00000106246,KIAA0632,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTG2,ENSG00000101181,"dJ1005F21.2, GTPBP5, ObgH1, OBGH1",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
GTPBP6,ENSG00000178605,PGPL,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTG1,ENSG00000148824,"GTP, GTPBP7",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
GTPBP10,ENSG00000105793,"ObgH2, OBGH2, UG0751c10",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MALSU1,ENSG00000156928,"C7orf30, mtRsfA",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MIEF1,ENSG00000100335,"AltMIEF1, dJ1104E15.3, HSU79252, MID51, MIEF1-MP, SMCR7L",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
NDUFAB1,ENSG00000004779,"ACP, ACP1, FASN2A, SDAP",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
NOA1,ENSG00000084092,"C4orf14, hAtNOS1, hNOA1, mAtNOS1, MTG3",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
DDX28,ENSG00000182810,MDDX28,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
DHX30,ENSG00000132153,"DDX30, KIAA0890, NEDMIAL, RETCOR",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
FASTKD2,ENSG00000118246,"COXPD44, KIAA0971",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MPV17L2,ENSG00000254858,FKSG24,Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTERF3,ENSG00000156469,"CGI-12, MTERFD1",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
NGRN,ENSG00000182768,"DSC92, FI58G",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
PRORP,ENSG00000100890,"KIAA0391, MRPP3",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
TRMT10C,ENSG00000174173,"COXPD30, HNYA, MRPP1, RG9MTD1",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
HSD17B10,ENSG00000072506,"17b-HSD10, ABAD, CAMR, DUPXp11.22, ERAB, HADH2, HCD2, HSD10MD, MHBD, MRPP2, MRX17, MRX31, MRXS10, SCHAD, SDR5C1, XH98G2",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
ELAC2,ENSG00000006744,"COXPD17, ELC2, HPC2",Translation,Mitochondrial translation,Mitoribosome biogenesis factor,Proteostasis
MTIF2,ENSG00000085760,(none known),Translation,Mitochondrial translation,Translation initiation,Proteostasis
MTIF3,ENSG00000122033,IF3mt,Translation,Mitochondrial translation,Translation initiation,Proteostasis
PTCD3,ENSG00000132300,"MRP-S39, MRPS39",Translation,Mitochondrial translation,Translation initiation,Proteostasis
TUFM,ENSG00000178952,"COXPD4, EFTU, EF-TuMT, P43",Translation,Mitochondrial translation,Translation elongation,Proteostasis
TSFM,ENSG00000123297,"EFTS, EFTSMT",Translation,Mitochondrial translation,Translation elongation,Proteostasis
GFM1,ENSG00000168827,"COXPD1, EFG, EFG1, EFGM, EGF1, GFM, hEFG1, mtEF-G1",Translation,Mitochondrial translation,Translation elongation,Proteostasis
GUF1,ENSG00000151806,"EF-4, EF4, EIEE40",Translation,Mitochondrial translation,Translation elongation,Proteostasis
AARS2,ENSG00000124608,"AARSL, COXPD8, KIAA1270, LKENP, MT-ALARS, MTALARS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
CARS2,ENSG00000134905,"COXPD27, cysRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
DARS2,ENSG00000117593,"ASPRS, LBSL, MT-ASPRS, mtAspRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
EARS2,ENSG00000103356,"COXPD12, gluRS, KIAA1970, MSE1, mtGlnRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
FARS2,ENSG00000145982,"COXPD14, FARS1, HSPC320, mtPheRS, PheRS, SPG77",Translation,Mitochondrial translation,Translation elongation,Proteostasis
GARS1,ENSG00000106105,"CMT2D, DSMAV, GARS, GlyRS, HMN5, SMAD1",Translation,Mitochondrial translation,Translation elongation,Proteostasis
HARS2,ENSG00000112855,"HARSL, HARSR, HisRS, HO3, PRLTS2",Translation,Mitochondrial translation,Translation elongation,Proteostasis
IARS2,ENSG00000067704,"CAGSSS, ILERS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
KARS1,ENSG00000065427,"CMTRIB, DFNB89, KARS, KARS2, KIAA0070, KRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
LARS2,ENSG00000011376,"HLASA, KIAA0028, LEURS, mtLeuRS, PRLTS4",Translation,Mitochondrial translation,Translation elongation,Proteostasis
MARS2,ENSG00000247626,"COXPD25, MetRS, mtMetRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
NARS2,ENSG00000137513,"asnRS, DFNB94, SLM5",Translation,Mitochondrial translation,Translation elongation,Proteostasis
PARS2,ENSG00000162396,"EIEE75, MT-PRORS, proRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
RARS2,ENSG00000146282,"ArgRS, DALRD2, PCH6, PRO1992, RARSL",Translation,Mitochondrial translation,Translation elongation,Proteostasis
SARS2,ENSG00000104835,"mtSerRS, SARS, SARSM, SerRS, SerRSmt, SERS, SYS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
TARS2,ENSG00000143374,"COXPD21, TARSL1, thrRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
VARS2,ENSG00000137411,"COXPD20, KIAA1885, VALRS, VARS2L, VARSL",Translation,Mitochondrial translation,Translation elongation,Proteostasis
WARS2,ENSG00000116874,"mtTrpRS, NEMMLAS, TrpRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
YARS2,ENSG00000139131,"CGI-04, MLASA2, MT-TYRRS, TYRRS",Translation,Mitochondrial translation,Translation elongation,Proteostasis
QRSL1,ENSG00000130348,"COXPD40, GatA",Translation,Mitochondrial translation,Translation elongation,Proteostasis
GATB,ENSG00000059691,"COXPD41, HSPC199, PET112, PET112L",Translation,Mitochondrial translation,Translation elongation,Proteostasis
GATC,ENSG00000257218,"15E1.2, COXPD42",Translation,Mitochondrial translation,Translation elongation,Proteostasis
MTRF1,ENSG00000120662,"MRF1, MTTRF1, RF1",Translation,Mitochondrial translation,Translation termination,Proteostasis
MTRF1L,ENSG00000112031,"HMRF1L, MRF1L, mtRF1a, MTRF1A",Translation,Mitochondrial translation,Translation termination,Proteostasis
MRPL58,ENSG00000167862,"DS-1, DS1, ICT1, MRP-L58",Translation,Mitochondrial translation,Translation termination,Proteostasis
MTRFR,ENSG00000130921,"C12orf65, COXPD7, mtRF-R, SPG55",Translation,Mitochondrial translation,Translation termination,Proteostasis
MTRES1,ENSG00000130349,"C6orf203, HSPC230, PRED31",Translation,Mitochondrial translation,Translation termination,Proteostasis
GTPBP6,ENSG00000178605,PGPL,Translation,Mitochondrial translation,Translation termination,Proteostasis
MRRF,ENSG00000148187,"MRFF, MTRRF, RRF",Translation,Mitochondrial translation,Ribosome recycling,Proteostasis
GFM2,ENSG00000164347,"EFG2, EF-G2mt, hEFG2, mEF-G 2, MRRF2, MST027, MSTP027, RRF, RRF2, RRF2mt",Translation,Mitochondrial translation,Ribosome recycling,Proteostasis
LRPPRC,ENSG00000138095,"CLONE-23970, GP130, LRP130, LSFC",Translation,Mitochondrial translation,Translation regulation,Proteostasis
SLIRP,ENSG00000119705,"C14orf156, DC50, PD04872",Translation,Mitochondrial translation,Translation regulation,Proteostasis
A2M,ENSG00000175899,"A2MD, CPAMD5, FWP007, S863-7",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
HP,ENSG00000257017,"BP, HP2ALPHA2, HPA1S",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
VTN,ENSG00000109072,"V75, VN, VNT",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
TTR,ENSG00000118271,"ATTR, CTS, CTS1, HEL111, HsT2651, PALB, TBPA",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
F2,ENSG00000180210,"PT, RPRGL2, THPH1",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
C1S,ENSG00000182326,EDSPD2,Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
APCS,ENSG00000132703,"HEL-S-92n, PTX2, SAP",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
PZP,ENSG00000126838,CPAMD6,Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
SERPINA5,ENSG00000188488,"PAI-3, PAI3, PCI, PCI-B, PLANH3, PROCI",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
C1R,ENSG00000159403,EDSPD1,Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
SPARC,ENSG00000113140,"BM-40, OI17, ON, ONT",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
SCG5,ENSG00000166922,"7B2, P7B2, SGNE1, SgV",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
SERPINI1,ENSG00000163536,"neuroserpin, PI12",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
CSN2,ENSG00000135222,"CASB, PDC213",Extracellular proteostasis,Chaperone,Primarily extracellular,Proteostasis
CLU,ENSG00000120885,"AAG4, APO-J, APOJ, CLI, CLU1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2",Extracellular proteostasis,Chaperone,Extracellular and intracellular,Proteostasis
IDE,ENSG00000119912,INSULYSIN,Extracellular proteostasis,Chaperone,Extracellular and intracellular,Proteostasis
MIF,ENSG00000240972,"GIF, GLIF, MMIF",Extracellular proteostasis,Chaperone,Extracellular and intracellular,Proteostasis
PCSK9,ENSG00000169174,"FH3, FHCL3, HCHOLA3, LDLCQ1, NARC-1, NARC1, PC9",Extracellular proteostasis,Chaperone,Extracellular and intracellular,Proteostasis
CRYAB,ENSG00000109846,"CMD1II, CRYA2, CTPP2, CTRCT16, HEL-S-101, HSPB5, MFM2",Extracellular proteostasis,Chaperone,Extracellular and intracellular,Proteostasis
SFTPC,ENSG00000168484,"BRICD6, PSP-C, SFTP2, SMDP2, SP5, SP-C",Extracellular proteostasis,Chaperone,"Plasma membrane, chaperone domain released by proteolysis",Proteostasis
ITM2B,ENSG00000136156,"ABRI, BRI, BRI2, BRICD2B, E25B, E3-16, FBD, imBRI2, RDGCA",Extracellular proteostasis,Chaperone,"Plasma membrane, chaperone domain released by proteolysis",Proteostasis
DNAJB11,ENSG00000090520,"ABBP-2, ABBP2, Dj-9, DJ9, EDJ, ERdj3, ERj3, ERJ3, ERj3p, HDJ9, PKD6, PRO1080, UNQ537",Extracellular proteostasis,Chaperone,"Primarily intracellular, secreted during ER stress",Proteostasis
IDE,ENSG00000119912,INSULYSIN,Extracellular proteostasis,Protease,Extracellular and intracellular,Proteostasis
MME,ENSG00000196549,"CALLA, CD10, CMT2T, EPN, NEP, SCA43, SFE",Extracellular proteostasis,Protease,Plasma membrane,Proteostasis
INS,ENSG00000254647,"IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10, PNDM4",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IGF1,ENSG00000017427,"IBP1, IGF, IGF-I, IGFI, MGF",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IGF1R,ENSG00000140443,"CD221, IGFIR, IGFR, JTK13",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
TP53,ENSG00000141510,"BCC7, BMFS5, LFS1, P53, TRP53",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IGFBP3,ENSG00000146674,"BP-53, IBP3",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PRKCI,ENSG00000163558,"DXS1179E, nPKC-iota, PKCI",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IRS1,ENSG00000169047,HIRS-1,Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IRS2,ENSG00000185950,IRS-2,Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IRS4,ENSG00000133124,"CHNG9, IRS-4, PY160",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PIK3CA,ENSG00000121879,"CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, p110-alpha, PI3K, PI3K-alpha",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PIK3CB,ENSG00000051382,"P110BETA, PI3K, PI3KBETA, PIK3C1",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PIK3CD,ENSG00000171608,"APDS, IMD14, p110D, P110DELTA, PI3K",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PIK3R1,ENSG00000145675,"AGM7, GRB1, IMD36, p85, p85-ALPHA",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PIK3R2,ENSG00000105647,"MPPH, MPPH1, p85, P85B, p85-BETA",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PTEN,ENSG00000171862,"10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, TEP1",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
PDPK1,ENSG00000140992,"PDK1, PDPK2, PDPK2P, PRO0461",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IL4,ENSG00000113520,"BCGF-1, BCGF1, BSF-1, BSF1, IL-4",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
IL13,ENSG00000169194,"IL-13, NC30, P600",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
MTOR,ENSG00000198793,"FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RICTOR,ENSG00000164327,"AVO3, hAVO3, KIAA1999, PIA",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
MLST8,ENSG00000167965,"GbetaL, GBL, LST8, POP3, WAT1",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
MAPKAP1,ENSG00000119487,"JC310, MIP1, SIN1, SIN1b, SIN1g",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
DEPTOR,ENSG00000155792,"DEP.6, DEPDC6",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
TTI1,ENSG00000101407,"KIAA0406, smg-10, SMG10",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
TELO2,ENSG00000100726,"CLK2, KIAA0683, TEL2, YHFS",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
AKT1,ENSG00000142208,"AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
SIRT6,ENSG00000077463,SIR2L6,Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RRAGA,ENSG00000155876,"FIP-1, FIP1, RAGA",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RRAGB,ENSG00000083750,"bA465E19.1, RAGB",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RRAGC,ENSG00000116954,"GTR2, RAGC, TIB929",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RRAGD,ENSG00000025039,"bA11D8.2.1, RAGD",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
LARS1,ENSG00000133706,"hr025Cl, HSPC192, ILFS1, KIAA1352, LARS, LEURS, LEUS, LFIS, LRS, PIG44, RNTLS",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
FLCN,ENSG00000154803,"BHD, DENND8B, FLCL",Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
FNIP1,ENSG00000217128,KIAA1961,Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
GPR137B,ENSG00000077585,TM7SF1,Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
RNF152,ENSG00000176641,(none known),Autophagy-Lysosome Pathway,Pre-initiation autophagy signaling,"mTORC1 pathway, upstream",Proteostasis
